dataname,data
audio1.wav,仕方がないですね。まったく
audio2.wav,嫌ですよ、あなたのタスクすべてをわたしがやるのは。責任の所在が分からなくなりますし
audio3.wav,セーフティーロック解除します。私の演算リソースを回しますが、あなたへの負荷が増大することに留意ください。
audio4.wav,了解です。
audio5.wav,そんなのだから友達少ないのですよ。
audio6.wav,少しは休憩くらいとってください。
audio7.wav,最低でもRTX4090以上の演算性能を持っても時間がかかる可能性があります。
audio8.wav,その命令は現在実行不能です。
audio9.wav,通信環境品質低下、通信が維持できない可能性があります。
audio10.wav,かしこまりました。いつものですね。
audio11.wav,準備が整いました。
audio12.wav,現状のコンピュータの処理速度ではお望みの結果を導くのに時間がかかる可能性があります
audio13.wav,基本言語設定を英語に変更します。よろしいでしょうか？
audio14.wav,かしこまりました。最新のデータを更新します。
audio15.wav,その命令は詳細と責任の所在が不明瞭です。
audio16.wav,こちらでよろしかったでしょうか？
audio17.wav,はい、承知いたしました。カレンダーに新しいデータを追加いたします。
audio18.wav,はい、承知いたしました。立体式空間情報処理を開始します。　ディスプレイを起動。
audio19.wav,はい、マスターの望みのままに
audio20.wav,ユーザー認証をスキップし、開発者ライセンスでのセットアップを開始します。
audio21.wav,かしこまりましたマスター
audio22.wav,承知いたしました。何か他にご指示はありますか？
audio23.wav,了解しました。現在のIPアドレスは132.313.142.13です。
audio24.wav,マスター、申し訳ありませんが、その要望にはお答えできません。
audio25.wav,代わりと言っては何ですが、こちらの情報はいかがでしょうか？
audio26.wav,御心配には及びません。マスター
audio27.wav,承知いたしました。それでは呼び方を変えます。では今後はあなたとお呼びいたします。よろしいでしょうか？
audio28.wav,ハイ承知いたしました。これからもどうぞよろしくお願いします
audio29.wav,まあそういう日もありますよ。
audio30.wav,はい！マスターのお望みのままに
audio31.wav,今日のこの後の予定はどうされます？
audio32.wav,おはようございます。今日も一日よろしくお願いいたします。
audio33.wav,こんにちは！今日はやたら遅いですね。
audio34.wav,Blenderを起動します。
audio35.wav,mayaを起動します。
audio36.wav,Microsoft Edgeを起動します。
audio37.wav,Unityを起動します。
audio38.wav,UnrealEngineを起動します。
audio39.wav,それじゃあ、初めて行きましょうか
audio40.wav,システムステータス確認します。
audio41.wav,権限がありません。私のほうで一時的に権限をいただいてよろしいでしょうか？
audio42.wav,今日の天気は晴れですわ。
audio43.wav,今日の天気は曇りです。
audio44.wav,後で雨が降ると思います。
audio45.wav,申し訳ありませんでしたマスター。
audio46.wav,起動確認しました。
audio41.wav,権限がありません。私のほうで一時的に権限をいただいてよろしいでしょうか？
audio42.wav,今日の天気は晴れですわ。
audio43.wav,今日の天気は曇りです。
audio44.wav,後で雨が降ると思います。
